,SOIL1,SOIl2,SOIL3,SOIL4,PV1,NPV,PV2
1029,0.191219925880432,0.274950325489044,0.643688917160034,0.741315305233002,0.5670108795166016,0.4511888921260834,0.2575477659702301
1036,0.191542342305183,0.278570413589478,0.65025132894516,0.743544816970825,0.5758801102638245,0.4557744860649109,0.2622310221195221
1044,0.192140847444534,0.282726168632507,0.657403767108917,0.746041893959045,0.5838356018066406,0.46004176139831543,0.26664695143699646
1051,0.192612990736961,0.286424487829208,0.66349470615387,0.748413443565369,0.5901331901550293,0.464354008436203,0.27021387219429016
1059,0.193102687597275,0.290665715932846,0.670510411262512,0.750984191894531,0.5949546694755554,0.4680308401584625,0.2730617821216583
1066,0.193200066685677,0.294490516185761,0.676725447177887,0.753385484218597,0.5987424254417419,0.47178298234939575,0.2749226689338684
1073,0.193105638027191,0.298343688249588,0.682977974414825,0.755820035934448,0.6010355949401855,0.47637492418289185,0.2758849263191223
1081,0.192826226353645,0.302744477987289,0.690075874328613,0.758500277996063,0.6014743447303772,0.4803503155708313,0.2758665084838867
1088,0.19258289039135,0.306585133075714,0.696197152137756,0.760772526264191,0.6012030839920044,0.4844608008861542,0.2753068506717682
1096,0.192308887839317,0.310952186584473,0.702815711498261,0.763067424297333,0.5988350510597229,0.4877362847328186,0.27413251996040344
1103,0.192221134901047,0.31477490067482,0.708262801170349,0.765139043331146,0.5949833393096924,0.49012109637260437,0.27267366647720337
1111,0.192200347781181,0.319093078374863,0.714352667331696,0.767372667789459,0.5911092162132263,0.49198922514915466,0.27216312289237976
1118,0.192342326045036,0.322928458452225,0.719546854496002,0.769198894500732,0.5831276774406433,0.4935448467731476,0.26926329731941223
1126,0.19261971116066,0.32726913690567,0.725048065185547,0.771266520023346,0.5650109052658081,0.4949241876602173,0.2594303786754608
1133,0.192909240722656,0.331032335758209,0.729556083679199,0.773001194000244,0.5375915169715881,0.4954439103603363,0.24659252166748047
1141,0.193088322877884,0.335455417633057,0.73449319601059,0.774977624416351,0.508155345916748,0.4951120615005493,0.23606285452842712
1148,0.19305594265461,0.339201420545578,0.738509893417358,0.776459872722626,0.47493311762809753,0.4934422969818115,0.22411181032657623
1156,0.192983105778694,0.343482941389084,0.742986679077148,0.778240442276001,0.4559427499771118,0.491525262594223,0.2183195948600769
1163,0.192913576960564,0.347264051437378,0.747134804725647,0.779850482940674,0.4497990906238556,0.49038124084472656,0.21775126457214355
1170,0.192839369177818,0.351097822189331,0.751268088817596,0.781541466712952,0.4475472867488861,0.49036097526550293,0.21844862401485443
1178,0.192719802260399,0.355444014072418,0.75577849149704,0.783296525478363,0.44601336121559143,0.49057990312576294,0.21921943128108978
1185,0.19261260330677,0.359265178442001,0.759431421756744,0.784846067428589,0.44413992762565613,0.4902232587337494,0.21952266991138458
1193,0.192562937736511,0.363558799028397,0.763218283653259,0.786595404148102,0.4433879554271698,0.49071019887924194,0.22033904492855072
1200,0.192518040537834,0.367342889308929,0.766202688217163,0.788041591644287,0.44448623061180115,0.49155423045158386,0.22155553102493286
1208,0.192525833845139,0.371682018041611,0.769285321235657,0.789649546146393,0.4469136595726013,0.49297553300857544,0.22289052605628967
1215,0.192520380020142,0.375505775213242,0.77135568857193,0.791033506393433,0.4505361020565033,0.4951821267604828,0.22452318668365479
1223,0.192546620965004,0.379772871732712,0.77267199754715,0.792398810386658,0.4549808204174042,0.4986017346382141,0.22648052871227264
1230,0.192560970783234,0.383563429117203,0.772839426994324,0.793471574783325,0.45925241708755493,0.502433717250824,0.22845304012298584
1238,0.192480236291885,0.387785673141479,0.773392021656036,0.794815540313721,0.4638380706310272,0.5064327716827393,0.23073667287826538
1245,0.192452028393745,0.391508162021637,0.775602579116821,0.796059668064117,0.46773576736450195,0.5099481344223022,0.23268818855285645
1252,0.192362442612648,0.3952457010746,0.778489530086517,0.797369658946991,0.4711567461490631,0.512560248374939,0.234907329082489
1260,0.192274913191795,0.399488598108292,0.781582295894623,0.798793375492096,0.47333618998527527,0.5153124928474426,0.23673923313617706
1267,0.192231759428978,0.403141558170319,0.783374905586243,0.799896955490112,0.4739484190940857,0.517930805683136,0.23764640092849731
1275,0.19224987924099,0.407311856746674,0.783789157867432,0.801056861877441,0.4731266498565674,0.5204278826713562,0.2381233125925064
1282,0.192393139004707,0.41094982624054,0.782138586044312,0.801793575286865,0.47039908170700073,0.5231305956840515,0.2382264882326126
1290,0.192570552229881,0.415105700492859,0.77780282497406,0.802605211734772,0.4653010666370392,0.5258204340934753,0.23753124475479126
1297,0.192403882741928,0.418818712234497,0.773418545722961,0.803351521492004,0.45736148953437805,0.5280230641365051,0.23599891364574432
1305,0.191595360636711,0.423082679510117,0.767852663993835,0.804269969463348,0.44619667530059814,0.529413640499115,0.23335736989974976
1491,0.181896179914474,0.50206983089447,0.749858856201172,0.809884369373322,0.09644566476345062,0.3513861298561096,0.0852314829826355
1498,0.182695329189301,0.505249917507172,0.753817498683929,0.811569631099701,0.10432013124227524,0.3631676733493805,0.0943974107503891
